Akruthi Designers,+(91)-9989488112,4.9,16,"3171/C/1, Ktr Colony Road, Number 5, Ktr Colony, Venkatraya Nagar, Nizampet, Hyderabad - 500090",
Ban Boutique (Designer Stud..,+(91)-8074466429,4.7,16,"Vijay Nagar, Masab Tank, Hyderabad - 500028, Near Ganesh Temple",
Wunder Shop,+(91)-8977877819,4.1,16,"H.no 8-2-460/6, Road No-4, Banjara Hills, Hyderabad - 500034, Opp Lane GVK MALL",
Suit Studio,+(91)-9393752332,4.0,16,"Shop No 18 &19, Minerva Complex, sd road, Sarojini Devi Road, Hyderabad - 500003, Opposite Mc Donald",
Goel Tailors,+(91)-40-66109462,4.0,16,"27 & 28 Ground Floor, M.C.H Complex, Putli Bowli, Hyderabad - 500001",
First Fragrance,+(91)-9395375647,4.0,16,"H No 6-2-690, Khairatabad, Khairatabad, Hyderabad - 500004, Chintal Basti",
Kushi Maggam Works,+(91)-8125625114,5.0,15,"Plotno: 32, Sai Ram Nagar Colony, Puppalaguda Manikonda Main Road, Manikonda, Hyderabad - 500089",
Sheetal Exclusive Store,+(91)-40-64518711,3.7,15,"Door No.8-2-120/120/1, Road No 10, Banjara Hills, Hyderabad - 500034, Near Indo American Cancer Institute & Research Centre",
Fida Designer,+(91)-40-64588126,4.2,14,"Shop No 8-2-618/8 & 9, Road No 11, Banjara Hills, Hyderabad - 500034, Opposite Care Hospital Lane, Near Reliance Supermarket, Opposite Sarvi Take Away",
Anns Fashions,+(91)-40-66637618,4.1,14,"Shop No 10, Kalan Plaza, Rukminipuri, As Rao Nagar, Hyderabad - 500062, Near Sharada Bus Stop",
Balaji Designer,+(91)-40-66814441,3.8,14,"Shop No 2-4-32, MG Road, Secunderabad, Hyderabad - 500003, Beside Bata Showroom",
Visha Trendz,+(91)-40-65765767,4.7,13,"Plot No 19, Arpitha Enclave, Jillelaguda, Hyderabad - 500079, Near Manda Mallama gardens",
Anoos Ladies Tailors,+(91)-040-27014018,4.1,13,"House No 12-5-3/E,Ground Floor,Shop No 2., Lalapet Main Road From Tarnaka, Tarnaka, Hyderabad - 500007, Opposite St.Anns High School",
K & Sons Tailors,+(91)-40-66362159,3.8,13,"Indralok Complex, Ground Floor, Reddy Hostel Lane, Abids, Hyderabad - 500001, Beside Mandakini jaya international",
Sindhu Designer Ladies Tail..,+(91)-40-64621700,2.3,13,"2nd Floor Beside Chennai Shopping, Mehdipatnam, Hyderabad - 500028, Opposite Piller No:26",
Taruni Fashion Designers,+(91)-6303046530,4.0,12,"Door No 16-11-115/c/1, Pratap Nagar, Pratap Nagar, Hyderabad - 500060, Near Bashyam School",
K G Rao Ladies Tailors,+(91)-040-27813162,3.7,12,"Door No 1-4-279, Parklane, Secunderabad, Hyderabad - 500003, Near Panchesheela Towers",
Jeans Jail,+(91)-040-24753525,3.3,12,"Shop No 3-5-108, Narayanguda, Hyderabad - 500029, Near Shalimar Function Hall, Opposite Bhavans New Science College",
Master Stitch Zone,+(91)-40-23324068,4.7,11,"11-3-675, Mallepally-New Mallepally, Hyderabad - 500001, Near Jama Masjid",
Varudhini Designer Boutique..,+(91)-9951124116,4.6,11,"Shop No : 9 & 10, MNR School Complex, Gudi Malkapur, Hyderabad - 500028, Near Gudimalkapur Market, Gudimalkapur X Road",
Zaara,+(91)-40-30582341,4.1,11,"Shop No:5-9-210,Global House, Chirag Ali Lane, Chirag Ali Lane, Hyderabad - 500001, Near Mercure Hotel",
Nuzhaths Creations,+(91)-40-66632795,4.1,11,"12-2-790/26/5 & 6 Cellar Devi Apartments, Ayodhya Nagar Colony, Mehdipatnam, Hyderabad - 500028, Opposite Lane to Piller No 28",
Rich Lady (designer Boutiqu..,+(91)-9030073886,4.0,11,"Paramount Gate No 4, Paramount Hills, HAKIMPET-TOLI CHOWKI, Hyderabad - 500008, Beside Greens Travels",
Mehr Studio,+(91)-8106900707,3.6,11,"Maheshwari Towers B Block 36 4 Floor 4, Road Number 1, Banjara Hills, Hyderabad - 500034, Near Karachi Bakery",
Threads Designer And Boutiq..,+(91)-9640335577,4.8,10,"Kompally to Medchal Highway, Kompally, Rangareddy - 500014",
Alliance Tailors & Textiles,+(91)-9948468717,4.7,10,"Shop No 10-4-43/1, Sarojni Devi Eye Hospital Road, Mehdipatnam, Hyderabad - 500028, Opposite Cresent Hospital",
Sri Designers,+(91)-9440946267,4.6,10,"Raod No:2, Plot No 14, Near PVNR Express  Way, Pillar No 96, Nethaji Nagar, Langar House, Hyderabad - 500008",
